Id,label,weight
侯亮平,侯亮平,489
李达康,李达康,246
祁同伟,祁同伟,201
高育良,高育良,191
蔡成功,蔡成功,161
沙瑞金,沙瑞金,151
丁义珍,丁义珍,141
陆亦可,陆亦可,138
高小琴,高小琴,127
陈岩石,陈岩石,108
赵东来,赵东来,107
陈海,陈海,106
赵瑞龙,赵瑞龙,105
郑西坡,郑西坡,99
欧阳菁,欧阳菁,82
刘新建,刘新建,71
季昌明,季昌明,69
林华华,林华华,52
易学习,易学习,47
赵德汉,赵德汉,45
程度,程度,40
陈清泉,陈清泉,34
吴惠芬,吴惠芬,33
田国富,田国富,33
钟小艾,钟小艾,31
周正,周正,27
王大路,王大路,26
吕梁,吕梁,25
梁璐,梁璐,24
孙连城,孙连城,23
小皮球,小皮球,23
肖钢玉,肖钢玉,21
郑胜利,郑胜利,20
尤瑞星,尤瑞星,18
杜伯仲,杜伯仲,16
王文革,王文革,11
侯浩然,侯浩然,10
张宝宝,张宝宝,9
陈群芳,陈群芳,8
毛娅,毛娅,8
魏彩霞,魏彩霞,8
花斑虎,花斑虎,8
常成虎,常成虎,7
吴心仪,吴心仪,6
丁秀萍,丁秀萍,6
钱队长,钱队长,6
孙海平,孙海平,5
王经理,王经理,5
秦思远,秦思远,5
钱秘书长,钱秘书长,5
毕敬业,毕敬业,4
何阿三,何阿三,4
雷警官,雷警官,4
刘生,刘生,3
张树立,张树立,3
吴春林,吴春林,3
蔡英俊,蔡英俊,3
交警,交警,3
司机小钱,司机小钱,2
赵德汉妻,赵德汉妻,2
高小凤,高小凤,1
王馥真,王馥真,1
汤成兰,汤成兰,1
陈文强,陈文强,1
秦奔,秦奔,1
钱律师,钱律师,1
王国风,王国风,0
周桂春,周桂春,0
白处长,白处长,0
田杏枝,田杏枝,0
马文朗,马文朗,0
刘姗,刘姗,0
金秘书,金秘书,0
李梁,李梁,0
林建国,林建国,0
张天峰,张天峰,0
高芳芳,高芳芳,0
青年李达康,青年李达康,0
青年易学习,青年易学习,0
青年王大路,青年王大路,0
青年欧阳菁,青年欧阳菁,0
青年毛娅,青年毛娅,0
蔡成功妻,蔡成功妻,0
贺秘书,贺秘书,0
刘局长,刘局长,0
小学校长,小学校长,0
华人女老板,华人女老板,0
王少林,王少林,0
眼镜王,眼镜王,0
田主任,田主任,0
林老师,林老师,0
老陈主任,老陈主任,0
工人小陈,工人小陈,0
黑头,黑头,0
头目乙,头目乙,0
警察甲,警察甲,0
赵德汉儿子,赵德汉儿子,0
律师甲,律师甲,0
财政局长,财政局长,0
王院长,王院长,0
常委甲,常委甲,0
常委乙,常委乙,0
办证人,办证人,0
便衣警察,便衣警察,0
车老板,车老板,0
秃顶男,秃顶男,0
照相师,照相师,0
法官甲,法官甲,0
法官乙,法官乙,0
出租车司机,出租车司机,0
孙妻,孙妻,0
香港女郎,香港女郎,0
工头,工头,0
警察乙,警察乙,0
纪委干部,纪委干部,0
丁义珍司机,丁义珍司机,0
李总,李总,0
王老板,王老板,0
侯亮平司机,侯亮平司机,0
纪检干部,纪检干部,0
渔家女甲,渔家女甲,0
渔家女乙,渔家女乙,0
李达康司机,李达康司机,0
拳击教练,拳击教练,0
王主任,王主任,0
王总,王总,0
烟店老板,烟店老板,0
张主任,张主任,0
丁妻,丁妻,0
大汉甲,大汉甲,0
大汉乙,大汉乙,0
青工甲,青工甲,0
青工乙,青工乙,0
看门人,看门人,0
